"advertiserId","programmeName","conversionRate","approvalRate","epc","launchDate","paymentStatus","paymentRiskLevel","awinIndex","feedEnabled","productReporting","commissionMin","commissionMax","leadMin","leadMax","cookieLength","parentSectors","subSectors","primarySector","averagePaymentTime","primaryRegion","descriptionShort","logoUrl","displayUrl"
"126151","OneBioShop_International","","0.00","0.00","2026-05-04","amber","exposurelevel2","0","no","no","0","0","0","0","30","Retail & Shopping","Health & Beauty","Health & Beauty","null","IT","OneBioShop is a leading Italian parafarmacy e-commerce, active since 2018, with over 180,000 SKUs across health, wellness, and natural products. We offer worldwide shipping with DDP terms and DGR-certified logistics.","https://ui.awin.com/images/upload/merchant/profile/126151.png","https://onebioshop.com/en/"
"126139","FansJerseyHub","8.63761","77.42","0.48","2026-04-20","amber","exposurelevel1","82.8577","no","yes","0","0","0","0","30","","Childrenswear|Clothing|Clothing Accessories|DIY|Group Buying|Menswear|Sports Equipment|Sportswear|Womenswear","Sportswear","null","US","High-converting football-inspired apparel brand built for affiliate profit. World Cup 2026 demand, competitive pricing, and strong social traffic. Exclusive coupons and TikTok-ready creatives boost conversions. 15 years focused on football apparel.","https://ui.awin.com/images/upload/merchant/profile/126139.png","https://fansjerseyhub1.com/"
"99151","Navimow EU","2.74841","98.13","1.96","2024-08-15","amber","exposurelevel2","47.1011","yes","no","0","0","0","0","30","Retail & Shopping","Home & Garden","Home & Garden","169","DE","Navimow is a smart robotic lawnmower that uses virtual boundaries to mow in precise straight lines, keeping your lawn perfectly maintained 24/7. We aim to provide an intelligent and convenient lifestyle to everyone without boundaries.","https://ui.awin.com/images/upload/merchant/profile/99151.png","https://navimow.segway.com/"
"68106","HTVRont","1.48963","74.51","0.75","2025-06-25","green","none","45.0943","yes","yes","0","0","0","0","30","Retail & Shopping","Home & Garden","Home & Garden","58","US"," 
 
About HTV","https://ui.awin.com/images/upload/merchant/profile/68106.png","https://www.htvront.com"
"93343","The Inner Technology LLC","2.37771","60.00","0.30","2025-07-23","green","none","0","no","yes","0","0","0","0","90","Retail & Shopping","Computers","Computers","72","US","About iProVPN is one of the leading VPN service providers in the world, allowing users across 35+ countries to anonymously and privately browse the web without restrictions.","https://ui.awin.com/images/upload/merchant/profile/93343.png","https://iprovpn.com"
"127361","Aussui Affiliate Programme (UK)","","0.00","0.00","2026-06-06","amber","exposurelevel1","0","yes","no","0","0","0","0","30","","Gifts & Flowers|Digital TV & Video-on-Demand|Entertainment Downloads|Online Gaming","Online Gaming","null","GB","Aussui is a global digital marketplace offering game keys, gift cards, subscriptions, and gaming products with instant delivery, competitive prices, secure payments, and a wide selection of top gaming and entertainment brands.","https://ui.awin.com/images/upload/merchant/profile/127361.png","https://aussui.com/"
"34947","Xcaret Global","3.39356","77.19","1.15","2022-11-09","amber","exposurelevel4","57.5791","no","yes","0","0","0","0","30","Travel","Hotels & Accommodation|Tourism & Attractions","Tourism & Attractions","179","MX","Since 1990, Xcaret has been an icon in the Cancun - Riviera Maya area.Our 8 different Eco-Theme Parks surrounded by nature allow visitors to enjoy several activities.","https://ui.awin.com/images/upload/merchant/profile/34947.png","https://www.xcaret.com/es/parques-en-cancun/"
"128757","HelloSafe","","0.00","0.00","2026-07-17","amber","exposurelevel1","","no","no","0","0","0","0","30","Finance & Insurance|Travel","Insurance|Lead Gen","Insurance","null","FR","Global travel insurance marketplace in 20+ languages and 42 currencies. Funnel converts at 18%+, cover up to $5,000,000. Instant approval, deep links, links ready in 26 languages, commission 10-20%. Plus a bank-card insurance checker.","https://ui.awin.com/images/upload/merchant/profile/128757.png","https://hellosafe.com/"
"82371","The Aeternum Company","7.81155","80.00","1.32","2025-07-23","green","none","83.2768","yes","yes","0","0","0","0","30","","Health & Beauty","Health & Beauty","21","US","10% Commission for each Referral! More for our best affiliates referrers! The Aeternum Company www.aeternum.site","https://ui.awin.com/images/upload/merchant/profile/82371.png","https://www.aeternum.site"
"96499","Ottocast","3.98496","85.37","0.23","2025-06-30","green","none","48.4226","yes","yes","0","0","0","0","45","Retail & Shopping","Automotive","Automotive","70","US","Ottocast offers top-tier CarPlay/Android Auto wireless adapters and CarPlay AI Boxes. With expert design, reliable quality, and global support, we welcome affiliates worldwide—no regional limits, just seamless car tech and trusted service.","https://ui.awin.com/images/upload/merchant/profile/96499.png","https://www.ottocast.com"
"124278","SHAMTAM","9.94624","100.00","0.38","2026-02-17","amber","exposurelevel4","83.6508","no","no","0","0","0","0","30","","Clothing|Clothing Accessories|Furniture & Soft Furnishings|Gifts & Flowers|Green (Eco friendly)|Health & Beauty|Home & Garden|Jewellery","Home & Garden","null","GB","SHAMTAM is a European slow-living lifestyle brand offering curated wellness, spiritual, and home products. Inspired by ancient traditions and modern rituals, we help customers create mindful, meaningful everyday experiences.","https://ui.awin.com/images/upload/merchant/profile/124278.png","https://shamtam.com/"
"118223","Xiaomi RO","1.78107","72.84","0.21","2025-07-30","amber","exposurelevel4","73.2448","yes","no","0","0","0","0","30","Retail & Shopping","Electronic Accessories","Electronic Accessories","153","RO","Xiaomi is a global tech innovator, offering premium-quality smartphones, AIoT devices, smart TVs, and lifestyle gadgets at accessible prices. In Romania, Xiaomi is consistently ranked among the Top 3 smartphone brands.","https://ui.awin.com/images/upload/merchant/profile/118223.png","https://www.mi.com/ro/event/offer-exclusive-deals/?utm_campaign=loeeu&utm_channel=affiliate&utm_medium=paid-affiliate&utm_type=1"
"122032","YAASA DE/AT","4.60264","56.04","1.48","2025-12-12","green","none","55.3038","no","no","0","0","0","0","30","Retail & Shopping","Furniture & Soft Furnishings|Office Supplies","Furniture & Soft Furnishings","38","DE","Yaasa steht für ergonomische Möbel, die Design, Komfort und Funktion vereinen. Von höhenverstellbaren Schreibtischen bis zu ergonomischen Bürostühlen - perfekt fürs Homeoffice oder Büro. Entwickelt in Österreich, mit Fokus auf Qualität und Wohlbefinden.","https://ui.awin.com/images/upload/merchant/profile/122032.png","https://yaasa.com/"
"82935","UniqPaid.com","0.591716","0.43","0.01","2025-08-12","green","none","0","no","yes","0","0","0","0","30","Retail & Shopping","Lead Gen","Lead Gen","null","US","UniqPaid.com - Online Rewards Program! Our members earn Real Cash by Signing Up for Free Offers, Visiting sites, Reading Emails, Shoping Online and more... We pay $1.50 per new user who signs up and confirms his e-mail. The member must complete","https://ui.awin.com/images/upload/merchant/profile/82935.png","https://www.uniqpaid.com"
"114180","Sinocare","4.81336","73.13","0.13","2025-03-21","amber","exposurelevel2","53.0674","yes","no","0","0","0","0","30","Retail & Shopping","FMCG|Gadgets|Green (Eco friendly)|Health & Beauty|Lead Gen|Pharmaceuticals|Sports Equipment","Health & Beauty","78","ES","Sinocare is a leading provider of blood glucose monitoring devices, helping millions manage their health worldwide. By partnering with us, you help your audience access reliable, high-quality health monitoring products while growing your revenue.","https://ui.awin.com/images/upload/merchant/profile/114180.png","https://en.sinocare.com/"
"72399","Tenways - EU","2.82656","78.52","1.52","2024-01-18","amber","exposurelevel4","52.9798","yes","no","0","0","0","0","30","Retail & Shopping","Green (Eco friendly)|Sports Equipment","Sports Equipment","68","DE","Tenways is an international brand founded in 2019 by cycling enthusiasts that designs lightweight bikes with clean, sleek designs, with headquarters in the Netherlands and Hong Kong.","https://ui.awin.com/images/upload/merchant/profile/72399.png","https://www.tenways.com/"
