ID,Name,Campaign Id,Products,Last Upload
4639,IN-Lenovo,9634,2411,"Aug 9, 2026",
6016,country-catalog-us,4482,21,"Apr 7, 2025",
7163,CommissionRate from 0 to 4%,12108,360429,"Aug 8, 2026",
7183,4%≤CommissionRate<6%,12108,361493,"Aug 8, 2026",
7184,6%≤CommissionRate<8%,12108,361644,"Aug 8, 2026",
7186,10%≤CommissionRate<12%,12108,190231,"Aug 8, 2026",
7187,12%≤CommissionRate<15%,12108,47526,"Aug 8, 2026",
7188,15%≤CommissionRate≤22%,12108,26343,"Aug 8, 2026",
8028,geekbuying us-en-usd,13004,237,"Aug 9, 2026",
8029,geekbuying ie-en-eur.xml,13004,995,"Aug 9, 2026",
8030,geekbuying de-de-eur.xml,13004,1073,"Aug 9, 2026",
8049,geekbuying fr-fr-eur.xml ,13004,1073,"Aug 9, 2026",
8050,geekbuying gb-en-gbp.xml ,13004,43,"Aug 9, 2026",
8051,geekbuying es-es-eur.xml,13004,1073,"Aug 9, 2026",
8052,geekbuying hu-hu-huf.xml,13004,1073,"Aug 9, 2026",
8053,geekbuying pt-pt-eur.xml,13004,1048,"Aug 9, 2026",
8054,geekbuying sk-sk-eur.xml,13004,1074,"Aug 9, 2026",
8088,geekbuying sg-en-sgd.xml,13004,1,"Mar 27, 2026",
8089,geekbuying my-en-myr.xml,13004,1,"Mar 27, 2026",
8090,geekbuying id-en-idr.xml,13004,1,"Mar 6, 2025",
8091,geekbuying ph-en-php.xml,13004,1904,"Mar 31, 2022",
8102,geekbuying au-en-aud.xml,13004,2,"Aug 9, 2026",
8136,geekbuying at-de-eur.xml,13004,1073,"Aug 9, 2026",
8137,geekbuying be-en-eur.xml,13004,1074,"Aug 9, 2026",
8138,geekbuying ca-en-cad.xml,13004,1,"Aug 5, 2026",
8139,geekbuying cz-cs-czk.xml,13004,1074,"Aug 9, 2026",
8140,geekbuying dk-da-dkk.xml,13004,1046,"Aug 9, 2026",
8141,geekbuying fi-en-eur.xml,13004,1041,"Aug 9, 2026",
8142,geekbuying gr-en-eur.xml,13004,1073,"Aug 9, 2026",
8143,geekbuying nl-nl-eur.xml,13004,1073,"Aug 9, 2026",
8144,geekbuying no-no-nok.xml,13004,1,"Jul 2, 2026",
8145,geekbuying pl-pl-pln.xml,13004,1070,"Aug 9, 2026",
8609,OnePlus FR Product feed new,14044,57,"Dec 18, 2025",
8897,DataFeedWatch UK,14325,914,"Aug 9, 2026",
8898,DataFeedWatch US,14325,666,"Aug 9, 2026",
10092,IOA Feed,12764,198,"Mar 24, 2023",
10878,Product feed,16873,15353,"Aug 9, 2026",
11586,Fofana,18091,9,"Aug 9, 2026",
11590,Happy Sinks EU,18086,80,"Aug 9, 2026",
11662,Bitdefender-NL-Catalog,4466,5,"Jan 19, 2023",
11708,INDO Tricks Scooter,18088,83,"Aug 9, 2026",
11719,Striking Viking,18360,181,"Aug 9, 2026",
11720,Big Bat Box,18359,23,"Aug 9, 2026",
11727,Penchant for Pleasure,18358,10,"Aug 9, 2026",
11814,Pure Scentum,18531,3,"Aug 9, 2026",
11815,Heino Supplies,18532,7,"Apr 30, 2025",
11816,Ontaki,18533,55,"Aug 9, 2026",
11817,Asebbo,18534,9,"Aug 9, 2026",
11818,Byre Group,18535,18,"Aug 9, 2026",
11819,Hana Emi,18536,9,"Aug 9, 2026",
11843,Impact_US_2024,12362,12505,"May 29, 2024",
11921,Baby Deep Sleep,18660,107,"Aug 9, 2026",
11925,GAFLY,18664,11,"Aug 9, 2026",
13277,Healer Labs London,19970,228,"Aug 9, 2026",
13575,Imported Shopify Catalog,20529,2285,"Aug 9, 2026",
13834,Makari De Suisse Product Catalog,20749,123,"Aug 9, 2026",
14442,Product Catalog of eufy.ca,18024,187,"Oct 16, 2023",
15224,Impact AU 2024,12362,9259,"May 29, 2024",
15471,Eufy_Nl.csv,18024,336,"Aug 9, 2026",
15506,Airalo Product Catalog,15608,3177,"Aug 9, 2026",
15528,Impact_UK_2024,12362,9200,"May 29, 2024",
15529,Impact DE 2024,12362,9200,"May 29, 2024",
15642,eSIM4Travel Products Catalog,22726,2099,"Jul 31, 2026",
16348,Baby Sunnies Product Catalog,24279,48,"Aug 9, 2026",
16349,Charlemange Product Catalog,24278,72,"Aug 9, 2026",
16350,Lux Product Catalog,24275,80,"Aug 9, 2026",
16376,Angles90,24273,36,"Aug 9, 2026",
16377,Angles90 Asia,24273,20,"Dec 4, 2024",
16378,Angles90 Europe,24273,25,"Jun 3, 2025",
16379,Open Goaaal USA,24272,147,"Aug 9, 2026",
16380,Open Goaaal Product Catalog,24272,95,"Aug 9, 2026",
16401,nadula impact feed,15659,332,"Jul 20, 2026",
16430,OG USA catalogue,24272,32,"Aug 9, 2026",
16432,OG EU catalogue,24272,5,"Apr 30, 2025",
16710,Imported Shopify Catalog,24670,2363,"Aug 9, 2026",
16997,IP Feed,12362,2742,"May 13, 2024",
17063,Tiny Land,19135,306,"Aug 9, 2026",
17474,CA Product Feeds,22026,163355,"May 3, 2026",
17475,Product Feeds DE,22026,147955,"May 13, 2026",
17476,Product Feeds ES,22026,147955,"Aug 9, 2026",
17477,Product Feeds FR,22026,147955,"Aug 9, 2026",
17478,Product Feeds GB,22026,147955,"Aug 9, 2026",
17479,Product Feeds IT,22026,147955,"Aug 9, 2026",
17783,Shopify API,25863,223,"Aug 9, 2026",
17827,Impact feed new,15661,91,"Jun 24, 2024",
17948,EU_ProductCatalog_English,25863,26,"Jul 1, 2024",
17950,EU_ProductCatalog_French,25863,28,"Aug 28, 2024",
18066,Imported Shopify Catalog,26283,182728,"Aug 9, 2026",
18153,Imported Shopify Catalog,26398,14,"Dec 12, 2025",
18155,Imported Shopify Catalog,26400,174,"Aug 9, 2026",
18221,Product for impact 202401719,26195,5215,"Aug 9, 2026",
18558,Imported Shopify Catalog,26834,151,"Aug 9, 2026",
18894,KOSPET GL Store,27123,110,"Jun 19, 2025",
18931,Imported Shopify Catalog,27006,4511,"Aug 9, 2026",
18990,EN_AUD_V2,25375,115,"Apr 9, 2025",
18991,EN_CAD_V2,25375,115,"Apr 9, 2025",
18992,EN_CNY_V2,25375,115,"Apr 9, 2025",
18993,EN_EUR_V2,25375,115,"Apr 9, 2025",
18994,EN_GBP_V2,25375,115,"Apr 9, 2025",
18995,EN_JPY_V2,25375,115,"Apr 9, 2025",
18996,EN_KRW_V2,25375,115,"Apr 9, 2025",
18997,EN_RUB_V2,25375,115,"Apr 9, 2025",
18998,EN_USD_V2,25375,103,"Aug 27, 2025",
19058,esim product catelog,27320,2205,"Aug 9, 2026",
19090,Helloice - US (USD),26893,5678,"Jul 31, 2026",
19093,VEVOR-AU Feed,22815,3352,"Aug 9, 2026",
19446,Imported Shopify Catalog,27583,166,"Aug 9, 2026",
19612,Alpine DE,27754,13077,"Jul 29, 2026",
19616,Imported Shopify Catalog,27846,1185,"Aug 9, 2026",
19738,HohemProductFeed,23003,63,"Aug 9, 2026",
19804,KOSPET US Store,27123,149,"Aug 9, 2026",
19855,KOSPET UK Store,27123,146,"Aug 9, 2026",
19856,KOSPET EU Store,27123,166,"Aug 9, 2026",
19898,klaiyi1023_feed.txt,15661,30,"Oct 25, 2024",
19899,nadula1024_feed.txt,15659,295,"Nov 17, 2025",
20114,Imported Shopify Catalog,28321,115,"Aug 9, 2026",
20389,Imported Shopify Catalog,28771,145,"Aug 9, 2026",
20425,Imported Shopify Catalog,28783,242151,"Aug 9, 2026",
20927,Zunsport,29608,3752,"Aug 9, 2026",
21782,Maxi-Cosi Product Catalog (US),23708,306,"Aug 9, 2026",
21940,upGrad Knowledgehut,29600,8,"Feb 19, 2025",
22361,Imported Shopify Catalog,32511,7274,"Aug 9, 2026",
22476,Imported Shopify Catalog,32616,758,"Aug 9, 2026",
22605,Imported Shopify Catalog,32651,260,"Aug 9, 2026",
22716,Imported Shopify Catalog,33113,18323,"Aug 9, 2026",
22738,Imported Shopify Catalog,32890,13,"Aug 9, 2026",
22782,Imported Shopify Catalog,32662,163,"Aug 9, 2026",
22824,Imported Shopify Catalog,33100,201,"Aug 9, 2026",
22963,Imported Shopify Catalog,32481,227,"Aug 9, 2026",
22970,Imported Shopify Catalog,33448,400,"Aug 9, 2026",
23002,Test-catalog,21171,3,"Apr 11, 2025",
23030,Imported Shopify Catalog,33550,187,"Aug 9, 2026",
23046,Catalog_french (Français),33612,411,"Aug 9, 2026",
23101,wecreat us,26691,155,"Aug 9, 2026",
23175,Imported Shopify Catalog,33699,197559,"Jul 16, 2025",
23231,Imported Shopify Catalog,33479,4147,"Aug 9, 2026",
23253,EN_SGD_V2,25375,115,"Apr 9, 2025",
23254,EN_AED_V2,25375,115,"Apr 9, 2025",
23255,EN_CHF_V2,25375,115,"Apr 9, 2025",
23256,EN_HKD_V2,25375,115,"Apr 9, 2025",
23445,Imported Shopify Catalog,34200,398,"Aug 9, 2026",
23854,Imported Shopify Catalog,32512,7671,"Aug 9, 2026",
23884,TuneFab,34054,78,"Jun 18, 2026",
24460,Imported Shopify Catalog,36253,106778,"Aug 9, 2026",
25023,International SIM Products,37373,3164,"Jun 30, 2025",
25245,Flashforge product catalog（US),38200,224,"Aug 9, 2026",
25271,Imported Shopify Catalog,38430,32,"Aug 9, 2026",
25338,G4free umbrella,33113,30,"Aug 9, 2026",
25339,G4free Backpacks & Bags,33113,122,"Aug 9, 2026",
25340,G4free Activewear Tops,33113,75,"Jul 22, 2026",
25342,G4free Activewear Maternity,33113,37,"Aug 9, 2026",
25343,4free Activewear Pants,33113,173,"Aug 9, 2026",
25344,G4free Activewear Shorts,33113,46,"Jul 22, 2026",
25345,Skirt,33113,25,"Aug 9, 2026",
25364,France,28240,37,"Aug 9, 2026",
25426,eSIM,38561,237,"Aug 9, 2026",
25480,Imported Shopify Catalog,38928,638,"Aug 9, 2026",
25505,nadulaGBP_feed.txt,15659,333,"Jul 20, 2026",
25653,Europe,28240,40,"Aug 9, 2026",
25654,Espana,28240,28,"Aug 9, 2026",
25655,Italia,28240,142,"Aug 9, 2026",
25778,Flashforge product catalog（CA),38200,149,"Aug 9, 2026",
25780,Flashforge product catalog (AU),38200,122,"Aug 9, 2026",
25803,Flashforge product catalog（UK),38200,152,"Aug 9, 2026",
25804,Flashforge product catalog（EU),38200,172,"Aug 9, 2026",
25806,Flashforge product catalog（Asia),38200,30,"Aug 9, 2026",
25939,Germany,28240,29,"Aug 9, 2026",
25953,Imported Shopify Catalog,36934,208,"Aug 9, 2026",
26048,Imported Shopify Catalog,39753,249,"Aug 9, 2026",
26107,Imported Shopify Catalog,40336,168,"Aug 9, 2026",
26243,Imported Shopify Catalog,40573,257,"Aug 9, 2026",
26244,Imported Shopify Catalog,40573,257,"Aug 9, 2026",
26324,Udemy Catalog,39854,311963,"Aug 5, 2026",
26425,Imported Shopify Catalog,40711,40,"Aug 9, 2026",
26474,Imported Shopify Catalog,41025,485,"Aug 9, 2026",
26494,Imported Shopify Catalog,41066,344,"Aug 9, 2026",
26649,OPPO FR Product Feed,38995,35,"Sep 4, 2025",
26650,OPPO ES Product Feed,38996,39,"Sep 4, 2025",
26668,Airhub eSIM product Catalog,21179,190,"Dec 9, 2025",
26676,Imported Shopify Catalog,12362,19877,"Aug 9, 2026",
26698,Catalog_Italiano (Italian),33612,411,"Aug 9, 2026",
26699,Catalog_English (EURO),33612,411,"Aug 9, 2026",
26700,Catalog_German (Deutsch),33612,411,"Aug 9, 2026",
