ID;Sursa de venit;Categorie;Tara;Platforma;Magazin;Retea afiliere;Comision;Tip comision;Recurent;Durata cookie;Valoare estimata client;Potential trafic;Competitie;Potential SEO;Dificultate;Dificultate aprobare;Venit lunar potential;Prioritate;URL;Status
AF0001;Comision afiliere — dhgate.com;Afiliere;international;impact;dhgate.com;impact;2-50%;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://www.dhgate.com;activ
AF0002;Comision afiliere — temu.com;Afiliere;international;direct;temu.com;direct;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;medie (lipseste linkul);grea (program propriu);UNKNOWN;high;https://www.temu.com;FARA LINK AFILIAT
AF0003;Comision afiliere — eufy.com;Afiliere;international;impact;eufy.com;impact;5-10%;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;featured;https://www.eufy.com;activ
AF0004;Comision afiliere — adguard.com;Afiliere;international;impact;adguard.com;impact;40% comision;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://adguard.com;activ
AF0005;Comision afiliere — wegic.ai;Afiliere;international;impact;wegic.ai;impact;35% comision;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://wegic.ai/;activ
AF0006;Comision afiliere — xmind.com;Afiliere;international;impact;xmind.com;impact;30% comision;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://xmind.com;activ
AF0007;Comision afiliere — shein.com;Afiliere;international;direct;shein.com;direct;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;medie (lipseste linkul);grea (program propriu);UNKNOWN;high;https://www.shein.com;FARA LINK AFILIAT
AF0008;Comision afiliere — orbitmobile.com;Afiliere;international;impact;orbitmobile.com;impact;20% comision;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://orbitmobile.com;activ
AF0009;Comision afiliere — outin.com;Afiliere;international;impact;outin.com;impact;20% comision;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://outin.com;activ
AF0010;Comision afiliere — trendyol.com;Afiliere;international;direct;trendyol.com;direct;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;medie (lipseste linkul);grea (program propriu);UNKNOWN;high;https://www.trendyol.com;FARA LINK AFILIAT
AF0011;Comision afiliere — bcengi.com;Afiliere;international;impact;bcengi.com;impact;15% comision;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://www.bcengi.com;activ
