magazin,nivel,scor,platforma,comision_max_pct,are_promotie,cod_cupon,in_feed_produse,pagina_brand,link_afiliat_real,sales_number
emag.ro,AGRESIV,22.8,profitshare,20.0,1,0,1,1,1,0
hairify.ro,AGRESIV,20.8,2performant,24.0,1,1,1,0,1,0
facturis-online.ro,AGRESIV,20.5,profitshare,35.0,1,0,1,0,1,0
libris.ro,AGRESIV,20.0,profitshare,8.0,1,0,1,1,1,0
pcmadd.com,AGRESIV,19.9,profitshare,6.0,1,0,1,1,1,0
incaltamintelamoda.ro,AGRESIV,19.9,2performant,12.0,1,1,1,0,1,0
elindor.ro,AGRESIV,19.6,2performant,10.0,1,1,1,0,1,0
noriel.ro,AGRESIV,19.3,2performant,7.0,1,0,1,1,1,0
videt.ro,AGRESIV,19.3,2performant,10.0,1,1,1,0,1,0
temu.com,ASCUNS,19.2,direct,0.0,1,1,1,1,0,0
vidaxl.ro,AGRESIV,19.2,2performant,7.0,1,0,1,1,1,0
bookzone.ro,AGRESIV,19.0,2performant,10.0,1,0,1,1,1,0
shein.com,ASCUNS,18.9,direct,0.0,1,1,1,1,0,0
otter.ro,AGRESIV,18.8,2performant,5.0,1,0,1,1,1,0
trendyol.com,ASCUNS,18.7,direct,0.0,1,1,1,1,0,0
litera.ro,AGRESIV,18.7,2performant,7.0,1,0,1,1,1,0
decathlon.ro,AGRESIV,18.6,2performant,5.0,1,0,1,1,1,0
fashiondays.ro,AGRESIV,18.5,profitshare,5.0,1,0,1,1,1,0
carturesti.ro,AGRESIV,18.4,2performant,9.0,1,0,1,1,1,0
atelier49.ro,AGRESIV,18.4,2performant,6.0,1,1,1,0,1,0
pickndazzle.com,AGRESIV,18.0,2performant,5.0,1,1,1,0,1,0
manukashop.ro,NORMAL,17.9,2performant,18.0,1,0,1,0,1,0
giftdesign.ro,NORMAL,17.9,2performant,7.0,1,1,1,0,1,0
intimax.ro,NORMAL,17.6,2performant,20.0,1,0,1,0,1,0
moftcollection.ro,NORMAL,17.5,2performant,20.0,1,0,1,0,1,0
femieko.ro,NORMAL,17.5,2performant,19.0,1,0,1,0,1,0
drmax.ro,NORMAL,17.0,2performant,2.0,1,0,1,1,1,0
curteaveche.ro,NORMAL,16.9,2performant,15.0,1,0,1,0,1,0
niculescu.ro,NORMAL,16.8,2performant,10.0,1,0,1,0,1,0
trendyup.ro,NORMAL,16.8,2performant,10.0,1,0,1,0,1,0
doctorshield.ro,NORMAL,16.5,2performant,10.0,1,0,1,0,1,0
evolutionpowertools.ro,NORMAL,16.4,2performant,8.0,1,0,1,0,1,0
obio.ro,NORMAL,16.3,2performant,8.0,1,0,1,0,1,0
labelshop.ro,NORMAL,16.2,2performant,15.0,1,0,1,0,1,0
craftup.ro,NORMAL,16.2,2performant,10.0,1,0,1,0,1,0
librarie.net,NORMAL,16.1,2performant,8.0,1,0,1,0,1,0
zephyrlabs.ro,NORMAL,16.1,2performant,8.0,1,0,1,0,1,0
nobilacasa.ro,NORMAL,16.0,2performant,0.0,1,1,1,0,1,0
sneakerit.ro,NORMAL,16.0,2performant,8.0,1,0,1,0,1,0
ookee.ro,NORMAL,16.0,2performant,5.0,1,0,1,0,1,0
estel.ro,NORMAL,16.0,2performant,10.0,1,0,1,0,1,0
mobidea.ro,NORMAL,15.9,2performant,5.5,1,0,1,0,1,0
daedalusonline.eu,NORMAL,15.8,profitshare,7.0,1,0,1,0,1,0
arabescu.ro,NORMAL,15.8,2performant,5.0,1,0,1,0,1,0
pint.ro,NORMAL,15.7,profitshare,10.0,1,0,1,0,1,0
edituradiana.ro,NORMAL,15.7,2performant,4.0,1,0,1,0,1,0
vetro.ro,NORMAL,15.6,2performant,3.5,1,0,1,0,1,0
mobonline.ro,NORMAL,15.6,2performant,8.0,1,0,1,0,1,0
sanoverde.ro,NORMAL,15.6,2performant,10.0,1,0,1,0,1,0
fara-daunatori.ro,NORMAL,15.5,2performant,10.0,1,0,1,0,1,0
vidaxl.bg,NORMAL,15.5,2performant,5.0,1,0,1,0,1,0
atomico.ro,NORMAL,15.5,2performant,5.0,1,0,1,0,1,0
afisport.ro,NORMAL,15.4,2performant,5.0,1,0,1,0,1,0
interlink.ro,NORMAL,15.4,2performant,4.0,1,0,1,0,1,0
expomob.ro,NORMAL,15.3,2performant,7.0,1,0,1,0,1,0
autobob.ro,NORMAL,15.3,2performant,5.5,1,0,1,0,1,0
yves-rocher.ro,NORMAL,15.3,2performant,8.0,1,0,1,0,1,0
jollymag.ro,NORMAL,15.2,2performant,0.0,1,1,1,0,1,0
fera.ro,NORMAL,15.2,2performant,0.0,1,1,1,0,1,0
exclusive-home.ro,NORMAL,15.2,profitshare,10.0,1,0,1,0,1,0
vapetronic.ro,NORMAL,15.1,profitshare,8.0,1,0,1,0,1,0
medimfarm.ro,NORMAL,14.9,2performant,0.0,1,1,1,0,1,0
streamstore.ro,NORMAL,14.9,profitshare,10.0,1,0,1,0,1,0
paa-home.ro,NORMAL,14.9,2performant,7.0,1,0,1,0,1,0
delaria.ro,NORMAL,14.9,2performant,7.0,1,0,1,0,1,0
bsgmag.ro,NORMAL,14.8,2performant,3.0,1,0,1,0,1,0
lenjeriapufoasa.ro,NORMAL,14.8,2performant,5.0,1,0,1,0,1,0
giftspot.ro,NORMAL,14.6,profitshare,7.0,1,0,1,0,1,0
mathaus.ro,NORMAL,14.5,profitshare,3.5,1,0,1,0,1,0
112coffee.com,NORMAL,14.5,2performant,1.0,1,0,1,0,1,0
regata.ro,NORMAL,14.2,2performant,1.0,1,0,1,0,1,0
farmec.ro,NORMAL,14.1,2performant,0.0,1,0,1,0,1,0
surfshark.com,NORMAL,14.0,impact,40.0,0,0,0,0,1,0
hostinger.ro,NORMAL,14.0,impact,60.0,0,0,0,0,1,0
shopify.com,NORMAL,13.8,impact,150.0,0,0,0,0,1,0
bitdefender.ro,NORMAL,13.7,impact,40.0,0,0,0,0,1,0
coursera.org,NORMAL,13.6,impact,45.0,0,0,0,0,1,0
revolut.com,NORMAL,13.6,impact,200.0,0,0,0,0,1,0
market.envato.com,NORMAL,13.6,impact,30.0,0,0,0,0,1,0
invideo.io,NORMAL,13.5,impact,50.0,0,0,0,0,1,0
banggood.com,NORMAL,13.5,impact,12.0,0,0,0,1,1,0
upwork.com,NORMAL,13.4,impact,150.0,0,0,0,0,1,0
dhgate.com,NORMAL,13.3,impact,50.0,0,0,0,0,1,0
12go.com,NORMAL,13.3,impact,100.0,0,0,0,0,1,0
appsumo.com,NORMAL,13.3,impact,100.0,0,0,0,0,1,0
bitdefender.com,NORMAL,13.3,impact,50.0,0,0,0,0,1,0
bitgw.com,NORMAL,13.3,impact,55.0,0,0,0,0,1,0
efem.es,NORMAL,13.3,impact,60.0,0,0,0,0,1,0
gearupbooster.com,NORMAL,13.3,impact,70.0,0,0,0,0,1,0
helium10.com,NORMAL,13.3,impact,100.0,0,0,0,0,1,0
hightideinc.com,NORMAL,13.3,impact,50.0,0,0,0,0,1,0
mulerun.com,NORMAL,13.3,impact,50.0,0,0,0,0,1,0
menavpn1.com,NORMAL,13.3,impact,50.0,0,0,0,0,1,0
nexo.com,ASCUNS,13.3,impact,100.0,0,0,0,0,0,0
rewarx.com,NORMAL,13.3,impact,50.0,0,0,0,0,1,0
scalahosting.com,NORMAL,13.3,impact,100.0,0,0,0,0,1,0
wr.st-asu.com,NORMAL,13.3,impact,200.0,0,0,0,0,1,0
twizzlo.com,ASCUNS,13.3,impact,50.0,0,0,0,0,0,0
knowledgehut.com,NORMAL,13.3,impact,50.0,0,0,0,0,1,0
datacamp.com,NORMAL,13.2,impact,35.0,0,0,0,0,1,0
popai.pro,NORMAL,13.1,impact,45.0,0,0,0,0,1,0
365datascience.com,NORMAL,13.1,impact,30.0,0,0,0,0,1,0
accio.com,NORMAL,13.1,impact,30.0,0,0,0,0,1,0
adguard.com,NORMAL,13.1,impact,40.0,0,0,0,0,1,0
artemisads.com,NORMAL,13.1,impact,35.0,0,0,0,0,1,0
byteplus.com,NORMAL,13.1,impact,30.0,0,0,0,0,1,0
cleanemail.com,NORMAL,13.1,impact,30.0,0,0,0,0,1,0
coohom.com,NORMAL,13.1,impact,30.0,0,0,0,0,1,0
elightup.com,NORMAL,13.1,impact,30.0,0,0,0,0,1,0
justfitpro.com,NORMAL,13.1,impact,45.0,0,0,0,0,1,0
globaldelight.com,NORMAL,13.1,impact,30.0,0,0,0,0,1,0
homestyler.com,NORMAL,13.1,impact,30.0,0,0,0,0,1,0
dumblescore.com,ASCUNS,13.1,impact,40.0,0,0,0,0,0,0
mydataremoval.com,ASCUNS,13.1,impact,35.0,0,0,0,0,0,0
nordvpn.com,NORMAL,13.1,impact,40.0,0,0,0,0,1,0
vidmage.ai,NORMAL,13.1,impact,30.0,0,0,0,0,1,0
